first	second
TFAP4	NR2F1
CALCOCO2	NR2F1
SQSTM1	NR2F1
ELAVL1	NR2F1
NSD1	NR2F1
BCL11A	NR2F1
PIK3C2A	TXN
CCS	TXN
IFIT3	TXN
UBD	TXN
PDPK1	TXN
TREH	TXN
ACTN4	TXN
PRKAB2	TXN
AHCYL1	TXN
SSSCA1	TXN
PRKN	TXN
SYNCRIP	TXN
ATG13	TXN
NIPSNAP2	TXN
ULK1	TXN
EED	TXN
ATG12	TXN
CDK14	TXN
GABARAP	TXN
GOSR1	TXN
PGLS	TXN
PTBP3	TXN
SOD1	TXN
EGFR	TXN
MYC	TXN
COL1A1	TXN
GAPDH	TXN
ENO1	TXN
NPM1	TXN
GPX1	TXN
P4HB	TXN
ANXA6	TXN
UBC	TXN
UBL4A	TXN
PCNA	TXN
SLC2A4	TXN
UCHL3	TXN
IL7R	TXN
VCAM1	TXN
NME2	TXN
SFPQ	TXN
PPIB	TXN
CDK2	TXN
FKBP2	TXN
MAPK3	TXN
APEX1	TXN
CALR	TXN
IMPA1	TXN
PRDX6	TXN
ATIC	TXN
DDIT3	TXN
MDH2	TXN
NSF	TXN
PIK3CG	TXN
HINT1	TXN
PRKAA2	TXN
SUMO3	TXN
GABARAPL2	TXN
SUMO2	TXN
YWHAE	TXN
CNBP	TXN
RPS21	TXN
UBE2I	TXN
DLG4	TXN
RAE1	TXN
TRAF2	TXN
PRKAA1	TXN
CLN3	TXN
SQSTM1	TXN
CUL1	TXN
CUL2	TXN
CUL4B	TXN
HNRNPD	TXN
BECN1	TXN
MELK	TXN
NCF4	TXN
CNN3	TXN
STK11	TXN
NFE2	TXN
HIF1A	TXN
ATG2A	TXN
PAN2	TXN
ATG16L1	TXN
WDR82	TXN
ATG14	TXN
COPS6	TXN
TECPR1	TXN
ULK2	TXN
SUMF1	TXN
PIK3C3	TXN
NEK9	TXN
KBTBD7	TXN
RASSF5	TXN
NSMAF	TXN
RAB24	TXN
GPRASP2	TXN
ATG4C	TXN
NRBF2	TXN
DCUN1D1	TXN
CAMKK2	TXN
HSD17B10	TXN
TXN2	TXN
FYCO1	TXN
ATG101	TXN
MAP1LC3C	TXN
AMBRA1	TXN
MAP1LC3B	TXN
GABARAPL1	TXN
ATG10	TXN
TXNIP	TXN
MAP1LC3A	TXN
ACSS3	TXN
SFXN1	TXN
GLOD4	TXN
SH3GLB2	TXN
ATG3	TXN
FKBP14	TXN
HPF1	TXN
UVRAG	TXN
SH3GLB1	TXN
PRKAB1	TXN
WDR45	TXN
ATG4B	TXN
WIPI2	TXN
UCHL5	TXN
ENG	TGFB3
SDC4	TGFB3
ACVRL1	TGFB3
CCL20	TGFB3
FMOD	TGFB3
ELAVL1	TGFB3
VASN	TGFB3
LTBP3	TGFB3
PTBP3	COX5B
COX2	COX5B
ELANE	COX5B
UBC	COX5B
AR	COX5B
COX5A	COX5B
SHMT2	COX5B
HTT	COX5B
MDM2	COX5B
CDR2	COX5B
FAM208B	COX5B
MAVS	COX5B
NELFCD	COX5B
MOV10	COX5B
NXF1	COX5B
LSM4	COX5B
CHCHD2	COX5B
GABARAP	CTSA
DDX58	CTSA
BAG3	CTSA
OAT	CTSA
P4HB	CTSA
CTSD	CTSA
UBC	CTSA
SLC2A4	CTSA
GLB1	CTSA
DNAJB1	CTSA
GABARAPL2	CTSA
YWHAE	CTSA
CCT2	CTSA
GTF2B	CTSA
CDK5	CTSA
YOD1	CTSA
PM20D1	CTSA
MEPCE	CTSA
NEU1	CTSA
GABARAPL1	CTSA
FBXO6	CTSA
CTNNBIP1	CTSA
EGFR	MGST1
ERBB2	MGST1
UBC	MGST1
YWHAE	MGST1
KCNMA1	MGST1
ATL2	MGST1
HSD3B7	MGST1
ACSL1	CYP2C8
LONP1	CYP2C8
PSEN1	CYP2C8
RIN3	CYP2C8
ECSIT	CYP2C8
RNF32	CYP2C8
GABARAPL1	CYP2C8
MAP1LC3A	CYP2C8
MAST1	CYP2C8
MAGEB4	CYP2D6
CYB5A	CYP2D6
CYP2C9	CYP2D6
SAT1	CYP2D6
SGK1	MAPT
BIN1	MAPT
MAPK13	MAPT
OGT	MAPT
RPS6KA5	MAPT
ABL1	MAPT
APOE	MAPT
PRNP	MAPT
S100B	MAPT
APP	MAPT
CDK1	MAPT
P4HB	MAPT
PRKAR1A	MAPT
SRC	MAPT
PLCG2	MAPT
CAPN2	MAPT
RPS6KB1	MAPT
CDK2	MAPT
ELAVL4	MAPT
MARK3	MAPT
CASP1	MAPT
PPP2R1A	MAPT
AKT1	MAPT
SFN	MAPT
CASP3	MAPT
MAPK8	MAPT
CSNK1A1	MAPT
CSNK1D	MAPT
PSEN1	MAPT
GSK3A	MAPT
CASP7	MAPT
ACTB	MAPT
STXBP1	MAPT
YWHAG	MAPT
CALM1	MAPT
YWHAE	MAPT
UBE2D2	MAPT
TUBA4A	MAPT
CSNK2A1	MAPT
CDK5	MAPT
YWHAH	MAPT
EP300	MAPT
G3BP1	MAPT
PTK2B	MAPT
CASP8	MAPT
CDK5R1	MAPT
PTPA	MAPT
RPS6KA1	MAPT
MAPK11	MAPT
PKN1	MAPT
TUBA1A	MAPT
PEG10	MAPT
TTLL6	MAPT
UBASH3B	MAPT
MARK4	MAPT
PASK	MAPT
KLC2	MAPT
AATF	MAPT
MARK1	MAPT
MAPK8IP1	MAPT
CAMK2A	MAPT
TRAF6	MAPT
C5	C7
ARPC3	PRKAR1A
UBD	PRKAR1A
PJA2	PRKAR1A
BCL2L11	PRKAR1A
AKAP10	PRKAR1A
AKAP7	PRKAR1A
NUAK1	PRKAR1A
PRPF40A	PRKAR1A
BCAR3	PRKAR1A
RAF1	PRKAR1A
ITGB2	PRKAR1A
NPM1	PRKAR1A
UBC	PRKAR1A
DMD	PRKAR1A
ITGA4	PRKAR1A
SLC2A4	PRKAR1A
UQCRB	PRKAR1A
HIVEP1	PRKAR1A
PRKACB	PRKAR1A
SHC1	PRKAR1A
HLA-A	PRKAR1A
RFC2	PRKAR1A
SOX2	PRKAR1A
GSK3B	PRKAR1A
PRKX	PRKAR1A
YWHAE	PRKAR1A
GRIN1	PRKAR1A
MAP2K5	PRKAR1A
GRIN2B	PRKAR1A
GRB10	PRKAR1A
MYO7A	PRKAR1A
ILK	PRKAR1A
HDAC1	PRKAR1A
CUL3	PRKAR1A
DYRK1A	PRKAR1A
FHL2	PRKAR1A
BECN1	PRKAR1A
CUL7	PRKAR1A
ELAVL1	PRKAR1A
TAB1	PRKAR1A
AKAP4	PRKAR1A
RPGRIP1L	PRKAR1A
FRMD5	PRKAR1A
TAF15	PRKAR1A
CAMKK2	PRKAR1A
PFDN5	PRKAR1A
PKP2	PRKAR1A
CEP250	PRKAR1A
CCDC8	PRKAR1A
WNK1	PRKAR1A
AGO3	PRKAR1A
SMURF1	PRKAR1A
SIRT5	PRKAR1A
AKAP11	PRKAR1A
HDAC9	PRKAR1A
AGO2	PRKAR1A
CAPN11	PRKAR1A
PKP3	PRKAR1A
DYRK1B	PRKAR1A
ARFGEF2	PRKAR1A
PRKN	CHGA
PLG	CHGA
UBC	CHGA
SCG3	CHGA
SAP18	TFPI
PITX3	TFPI
SF3B1	TFPI
BCAS2	TFPI
F10	TFPI
MMP1	TFPI
ELANE	TFPI
MMP9	TFPI
SON	TFPI
SRSF11	TFPI
ELAVL1	TFPI
SRSF7	TFPI
SMU1	TFPI
UBC	ALPPL2
ALB	PF4V1
SH2B2	KIT
SOCS2	KIT
SH2D1B	KIT
SOCS1	KIT
NCK2	KIT
JAK2	KIT
SH2D1A	KIT
SOCS5	KIT
GRAP2	KIT
BCAR3	KIT
MPDZ	KIT
FYN	KIT
YES1	KIT
HCK	KIT
CD63	KIT
BCR	KIT
CSF2RA	KIT
PDGFRA	KIT
NCK1	KIT
PRKCA	KIT
EPOR	KIT
KITLG	KIT
CBL	KIT
IL3RA	KIT
PTPN6	KIT
CSF2RB	KIT
STAT1	KIT
MATK	KIT
TXK	KIT
CRKL	KIT
BLK	KIT
SHC2	KIT
PTPN12	KIT
PTPN11	KIT
PTPRJ	KIT
GRB10	KIT
GRB7	KIT
PTPRO	KIT
SHC4	KIT
SPRED2	KIT
SPRED1	KIT
SIRT2	KIT
SOCS4	KIT
PTPRU	KIT
SH3KBP1	KIT
SIRT1	KIT
DOK1	KIT
VAV3	KIT
STAP1	KIT
SH2B3	KIT
NOTCH1	RBP3
MYH10	UROS
YWHAE	UROS
COPS5	UROS
GRAP2	CD28
DUSP14	CD28
CD4	CD28
UBC	CD28
CD247	CD28
CD80	CD28
PRKCQ	CD28
ITK	CD28
LRRC23	CD28
FGFR2	FGF6
FGFR4	FGF6
NIPSNAP2	ESD
FN1	ESD
LTA4H	ESD
UBC	ESD
ADH5	ESD
PLCG2	ESD
VCAM1	ESD
HSPA4	ESD
TALDO1	ESD
CRK	ESD
PRKAG1	ESD
NPEPPS	ESD
SUMO2	ESD
HDAC1	ESD
UBE2R2	ESD
DDX11	ESD
COQ7	ESD
ATG101	ESD
DDA1	ESD
UBA5	ESD
SH3GLB2	ESD
PRKAG2	ESD
MED19	HSPD1
C11orf58	HSPD1
PIK3C2A	HSPD1
EXOC5	HSPD1
PSMD14	HSPD1
PES1	HSPD1
IKBKB	HSPD1
AURKA	HSPD1
UBD	HSPD1
NPHP1	HSPD1
BCAT2	HSPD1
PDPK1	HSPD1
FOXO3	HSPD1
PLRG1	HSPD1
PRKN	HSPD1
DKC1	HSPD1
NOS1AP	HSPD1
ATG13	HSPD1
OBSL1	HSPD1
NPHP4	HSPD1
NIPSNAP2	HSPD1
ULK1	HSPD1
CDC45	HSPD1
TADA2A	HSPD1
EED	HSPD1
TRMU	HSPD1
EIF3G	HSPD1
CIAO1	HSPD1
RGS20	HSPD1
GFPT2	HSPD1
ATG12	HSPD1
GABARAP	HSPD1
GOSR1	HSPD1
PGLS	HSPD1
DDX58	HSPD1
STAU1	HSPD1
NSD2	HSPD1
DHFR	HSPD1
GSR	HSPD1
ABL1	HSPD1
EGFR	HSPD1
PLG	HSPD1
CA2	HSPD1
A2M	HSPD1
MYC	HSPD1
HRAS	HSPD1
CD4	HSPD1
FN1	HSPD1
ESR1	HSPD1
ALDOA	HSPD1
NR3C1	HSPD1
TP53	HSPD1
ARG1	HSPD1
ALDH2	HSPD1
SLC25A5	HSPD1
ISG15	HSPD1
EIF4E	HSPD1
P4HB	HSPD1
ADRB2	HSPD1
EPRS	HSPD1
FH	HSPD1
ELANE	HSPD1
PDHA1	HSPD1
DLD	HSPD1
LTA4H	HSPD1
DLAT	HSPD1
CLU	HSPD1
PDHB	HSPD1
BCR	HSPD1
ERG	HSPD1
UBL4A	HSPD1
PRPS2	HSPD1
CDH1	HSPD1
CFTR	HSPD1
ITGA4	HSPD1
PRKAR2A	HSPD1
SLC2A4	HSPD1
GLUL	HSPD1
ATF2	HSPD1
IL7R	HSPD1
PLCG2	HSPD1
TMEM11	HSPD1
GJA1	HSPD1
ERCC2	HSPD1
VCAM1	HSPD1
ERCC3	HSPD1
RASA1	HSPD1
PTMS	HSPD1
NME2	HSPD1
ALAS2	HSPD1
PRKACG	HSPD1
TUBG1	HSPD1
GLDC	HSPD1
KDELR1	HSPD1
CDK2	HSPD1
PSMA3	HSPD1
DDX6	HSPD1
RPA1	HSPD1
POLD1	HSPD1
MAPK1	HSPD1
PPP2R1A	HSPD1
PPP2R1B	HSPD1
HNRNPH1	HSPD1
YWHAB	HSPD1
SHMT1	HSPD1
HTR7	HSPD1
CTNNB1	HSPD1
NOS2	HSPD1
RFC2	HSPD1
PCK1	HSPD1
AGL	HSPD1
FUS	HSPD1
DDIT3	HSPD1
DLST	HSPD1
SNCA	HSPD1
BRCA1	HSPD1
HSPA9	HSPD1
ACTR1B	HSPD1
CASP3	HSPD1
RAD52	HSPD1
PSMC4	HSPD1
VDAC2	HSPD1
CRKL	HSPD1
NSF	HSPD1
PIK3CG	HSPD1
CCT3	HSPD1
CARS	HSPD1
PRIM1	HSPD1
PRIM2	HSPD1
PSMB2	HSPD1
FHIT	HSPD1
CDK9	HSPD1
MNAT1	HSPD1
SMS	HSPD1
THOP1	HSPD1
SLC25A1	HSPD1
PLK1	HSPD1
PRKAG1	HSPD1
PRKAA2	HSPD1
BCAT1	HSPD1
DRG2	HSPD1
VCP	HSPD1
CASP9	HSPD1
NPEPPS	HSPD1
OXCT1	HSPD1
SUMO3	HSPD1
EIF6	HSPD1
PPP4C	HSPD1
GABARAPL2	HSPD1
ACTB	HSPD1
ACTR2	HSPD1
SUMO2	HSPD1
HNRNPK	HSPD1
YWHAG	HSPD1
PPP1CA	HSPD1
YWHAE	HSPD1
CNBP	HSPD1
GRB2	HSPD1
YWHAZ	HSPD1
SNRPN	HSPD1
EIF5A	HSPD1
RACK1	HSPD1
ACTG1	HSPD1
DLG4	HSPD1
CCT2	HSPD1
PPP2R2B	HSPD1
MDM2	HSPD1
HMGCS1	HSPD1
PFKP	HSPD1
POU5F1	HSPD1
PRKCE	HSPD1
OGDH	HSPD1
RAD51	HSPD1
C1QBP	HSPD1
MCL1	HSPD1
LGALS3BP	HSPD1
PMPCA	HSPD1
KCNMA1	HSPD1
CDC20	HSPD1
TRAF2	HSPD1
STK4	HSPD1
ACACA	HSPD1
PRKAA1	HSPD1
STK3	HSPD1
CLN3	HSPD1
BIRC2	HSPD1
SQSTM1	HSPD1
HDAC1	HSPD1
SNW1	HSPD1
CUL1	HSPD1
CUL2	HSPD1
CUL3	HSPD1
CUL4A	HSPD1
DDX39B	HSPD1
GTF2H3	HSPD1
EIF3A	HSPD1
MRPL58	HSPD1
EIF2B1	HSPD1
BECN1	HSPD1
CUL7	HSPD1
TLR1	HSPD1
SF3A2	HSPD1
TAF5	HSPD1
STK11	HSPD1
NEDD8	HSPD1
ETFDH	HSPD1
MAPK14	HSPD1
TAF9	HSPD1
BAK1	HSPD1
MAPK6	HSPD1
HIF1A	HSPD1
HIST2H2BE	HSPD1
ATG2A	HSPD1
PAN2	HSPD1
WIPI1	HSPD1
LRRK2	HSPD1
PPP2R2D	HSPD1
ATG16L1	HSPD1
CYB5R2	HSPD1
SUMO4	HSPD1
MRM1	HSPD1
KLHDC10	HSPD1
WDR59	HSPD1
WDR82	HSPD1
ATG14	HSPD1
UBE2R2	HSPD1
FA2H	HSPD1
TECPR1	HSPD1
HUWE1	HSPD1
C12orf10	HSPD1
CAND1	HSPD1
CAMK1D	HSPD1
ETFBKMT	HSPD1
ULK2	HSPD1
SPG20	HSPD1
SAMD3	HSPD1
PIK3C3	HSPD1
NEK9	HSPD1
SFXN5	HSPD1
GPT2	HSPD1
RB1CC1	HSPD1
PARD3	HSPD1
IPO4	HSPD1
NPRL2	HSPD1
KBTBD7	HSPD1
RASSF5	HSPD1
CNOT9	HSPD1
GCN1	HSPD1
RAD54L	HSPD1
COPS5	HSPD1
FBXO32	HSPD1
EEF1AKMT3	HSPD1
TUBGCP3	HSPD1
ATG4C	HSPD1
ASB9	HSPD1
SIRT1	HSPD1
NRBF2	HSPD1
AURKB	HSPD1
COQ2	HSPD1
CNOT6L	HSPD1
PUS7	HSPD1
CAMKK2	HSPD1
MMS19	HSPD1
CDC5L	HSPD1
PARK7	HSPD1
DNAJC2	HSPD1
PHB2	HSPD1
ACO2	HSPD1
COQ7	HSPD1
ECSIT	HSPD1
TUBA1C	HSPD1
FYCO1	HSPD1
ATG101	HSPD1
MLST8	HSPD1
DDA1	HSPD1
RPAP1	HSPD1
LGR4	HSPD1
BCL2L13	HSPD1
CLEC7A	HSPD1
AP1M1	HSPD1
MAP1LC3C	HSPD1
WDR33	HSPD1
ACTR6	HSPD1
MAP1LC3B	HSPD1
NIF3L1	HSPD1
UBA5	HSPD1
LSG1	HSPD1
GABARAPL1	HSPD1
RAB1B	HSPD1
CCDC8	HSPD1
ATG10	HSPD1
ATG5	HSPD1
HSD3B7	HSPD1
MAP1LC3A	HSPD1
ZNF703	HSPD1
WDR76	HSPD1
ACTR5	HSPD1
NANOG	HSPD1
POLR1B	HSPD1
MOV10	HSPD1
SMURF1	HSPD1
GPN1	HSPD1
SH3GLB2	HSPD1
FBXO6	HSPD1
ATG3	HSPD1
SIRT3	HSPD1
SACM1L	HSPD1
ACSS1	HSPD1
ABCF3	HSPD1
MED9	HSPD1
TECR	HSPD1
CNIH4	HSPD1
UVRAG	HSPD1
SAE1	HSPD1
NXF1	HSPD1
PRKAG2	HSPD1
WARS2	HSPD1
NAGK	HSPD1
AMFR	HSPD1
AGO2	HSPD1
AGO1	HSPD1
FZR1	HSPD1
USP22	HSPD1
SRRM2	HSPD1
HDAC5	HSPD1
MTMR6	HSPD1
GDA	HSPD1
PPP2R2C	HSPD1
MTO1	HSPD1
COQ6	HSPD1
SH3GLB1	HSPD1
NDUFAF1	HSPD1
RABGAP1	HSPD1
PRKAB1	HSPD1
WDR45	HSPD1
MFHAS1	HSPD1
WIPI2	HSPD1
ASB4	HSPD1
GMPPB	HSPD1
ESR1	RARB
NR3C1	RARB
RARA	RARB
SRC	RARB
RARG	RARB
CEBPB	RARB
GATA3	RARB
NR4A2	RARB
CEBPA	RARB
MEOX2	RARB
HDAC1	RARB
SMAD2	RARB
EZH2	RARB
ASXL1	RARB
HACE1	RARB
ESR2	RARB
SIRT1	RARB
PRKD2	RARB
KDM5B	RARB
ITGB1BP2	RARB
ING4	RARB
NCOR2	RARB
NCOA3	RARB
TRIM24	THRA
HR	THRA
BUB3	THRA
MED24	THRA
ESR1	THRA
ENO1	THRA
PARP1	THRA
UBC	THRA
NR2F1	THRA
SRC	THRA
POU2F1	THRA
RXRA	THRA
CCND1	THRA
YWHAQ	THRA
PIK3R1	THRA
PML	THRA
CTNNB1	THRA
RXRG	THRA
EMD	THRA
DAP3	THRA
BTG1	THRA
UBE2I	THRA
GTF2B	THRA
AKAP13	THRA
TDG	THRA
C1D	THRA
NCOA6	THRA
PTGES3	THRA
NR0B2	THRA
MED1	THRA
NCOA1	THRA
AMOT	THRA
MED25	THRA
HDAC2	THRA
FOXJ1	THRA
AJUBA	THRA
NSD1	THRA
RANBP9	THRA
MOV10	THRA
NXF1	THRA
AIP	THRB
ESR1	THRB
TP53	THRB
RARA	THRB
NR2F6	THRB
CCND1	THRB
PIK3R1	THRB
MPG	THRB
ANP32A	THRB
RXRG	THRB
CTCF	THRB
PRMT2	THRB
SCAND1	THRB
BTG1	THRB
UBE2I	THRB
RELA	THRB
ACVR1	THRB
FOXO1	THRB
C1D	THRB
NCOA6	THRB
SETDB1	THRB
NCOA2	THRB
NCOA1	THRB
LRIF1	THRB
PPARGC1B	THRB
ROBO4	THRB
ADAT3	THRB
NRBF2	THRB
NSD1	THRB
MMS19	THRB
PRMT1	THRB
NRIP2	THRB
PSMC3IP	THRB
PPARGC1A	THRB
KLF11	CLU
XPO1	CLU
RAD21	CLU
PITX3	CLU
PGLS	CLU
EGFR	CLU
FOS	CLU
APOA1	CLU
SLC4A1	CLU
C9	CLU
TTR	CLU
NR3C1	CLU
APP	CLU
UBC	CLU
C7	CLU
ELN	CLU
H2AFX	CLU
ADCYAP1	CLU
NFKB1	CLU
NFKBIA	CLU
PDIA3	CLU
YWHAB	CLU
ATP7B	CLU
PPARG	CLU
BAG6	CLU
LIG4	CLU
YWHAE	CLU
DLG4	CLU
VLDLR	CLU
ATP7A	CLU
BAX	CLU
CUL1	CLU
MDC1	CLU
HIF1A	CLU
PAXIP1	CLU
SYVN1	CLU
CLUAP1	CLU
CDK19	CLU
UBA5	CLU
HSD3B7	CLU
WNK1	CLU
MMP25	CLU
FBXO6	CLU
DISC1	CLU
TNIK	CLU
BTRC	CLU
CBY1	CLU
TSC22D4	CLU
HSP90AA1	MCF2
UBC	MCF2
ERCC3	MCF2
CDC42	MCF2
TNK2	MCF2
SGTA	GHR
PGLS	GHR
AP2A1	GHR
GH1	GHR
PSAP	GHR
IGF1R	GHR
PTPRB	GHR
PTPN3	GHR
IRS1	GHR
STAT5A	GHR
PTPN9	GHR
STAT5B	GHR
YWHAE	GHR
PTPN11	GHR
GRB10	GHR
NCOA6	GHR
HSD3B7	GHR
CISH	GHR
CXCL11	IRF1
TLR3	IRF1
SOCS1	IRF1
PRDM1	IRF1
CXCL10	IRF1
IL6	IRF1
COL1A2	IRF1
GLI3	IRF1
CXCL8	IRF1
IL7	IRF1
HMGA1	IRF1
GATA3	IRF1
LMO2	IRF1
CD38	IRF1
PTPN6	IRF1
IL12A	IRF1
IL12B	IRF1
CIITA	IRF1
GTF2F1	IRF1
MYH9	IRF1
PSMB10	IRF1
IL15	IRF1
STAT1	IRF1
STAT6	IRF1
IL12RB1	IRF1
AGTR2	IRF1
SMARCA4	IRF1
STAT2	IRF1
SUB1	IRF1
POLR2F	IRF1
B2M	IRF1
CSNK2A1	IRF1
SET	IRF1
TAP1	IRF1
IRF5	IRF1
IL18	IRF1
IKBKE	IRF1
NFIX	IRF1
ERAP2	IRF1
ULK2	IRF1
IL27	IRF1
RSAD2	IRF1
CREBBP	IRF1
IRF7	IRF1
ISG20	IRF1
TRIM44	IRF1
MED10	IRF1
IL21R	IRF1
CELSR3	IRF1
TBK1	IRF1
EVL	IRF1
TBX21	IRF1
TRAF6	IRF1
ACAN	HAPLN1
MMP2	HAPLN1
MMP3	HAPLN1
MMP7	HAPLN1
MMP10	HAPLN1
UBC	HAPLN1
VCAN	HAPLN1
MMP9	HAPLN1
YWHAB	HAPLN1
YWHAE	HAPLN1
GJB5	MYL2
USP6	MYL2
YWHAE	MYL2
PRKCE	MYL2
CDC42BPA	MYL2
MYOC	MYL2
PPP1R12C	MYL2
CD3D	CD8B
CD247	CD8B
ELAVL1	CD8B
RAMP1	IAPP
PCSK2	IAPP
PCSK1	IAPP
PDX1	IAPP
COL25A1	IAPP
HAX1	HSPA5
PIK3C2A	HSPA5
EXOC5	HSPA5
PSMD14	HSPA5
PES1	HSPA5
E2F3	HSPA5
TCERG1	HSPA5
AURKA	HSPA5
UBD	HSPA5
NPHP1	HSPA5
MAPK13	HSPA5
INPPL1	HSPA5
NVL	HSPA5
PDPK1	HSPA5
SEPT4	HSPA5
FOXO3	HSPA5
PLRG1	HSPA5
PRKAB2	HSPA5
AIRE	HSPA5
PRKN	HSPA5
ATG13	HSPA5
OBSL1	HSPA5
NPHP4	HSPA5
NIPSNAP2	HSPA5
ULK1	HSPA5
ERN1	HSPA5
TADA2A	HSPA5
EED	HSPA5
IDH1	HSPA5
ATG12	HSPA5
FCHSD2	HSPA5
ERLIN2	HSPA5
GABARAP	HSPA5
GOSR1	HSPA5
ATG7	HSPA5
SVIL	HSPA5
FMNL1	HSPA5
METTL18	HSPA5
STAU1	HSPA5
GSR	HSPA5
SOD1	HSPA5
F8	HSPA5
EGFR	HSPA5
LDLR	HSPA5
TG	HSPA5
HLA-B	HSPA5
FN1	HSPA5
ESR1	HSPA5
RAF1	HSPA5
VWF	HSPA5
TUBB4A	HSPA5
ERBB2	HSPA5
TP53	HSPA5
HSPB1	HSPA5
RPN1	HSPA5
APP	HSPA5
KRT18	HSPA5
KRT8	HSPA5
NPM1	HSPA5
ASGR1	HSPA5
CTSD	HSPA5
ADRB2	HSPA5
HSP90AA1	HSPA5
DLD	HSPA5
LCT	HSPA5
UBC	HSPA5
AR	HSPA5
HLA-C	HSPA5
DLAT	HSPA5
CTSA	HSPA5
HSPD1	HSPA5
CLU	HSPA5
LIPC	HSPA5
UBL4A	HSPA5
SFTPC	HSPA5
CDH1	HSPA5
SRC	HSPA5
CFTR	HSPA5
NCAM1	HSPA5
SLC2A4	HSPA5
BRAF	HSPA5
RPA2	HSPA5
H2AFX	HSPA5
TSHR	HSPA5
IL7R	HSPA5
STMN1	HSPA5
GJA1	HSPA5
VCL	HSPA5
VCAM1	HSPA5
POLR2C	HSPA5
NFKB1	HSPA5
ERBB3	HSPA5
CBL	HSPA5
TUBG1	HSPA5
CDK2	HSPA5
APC	HSPA5
MCM3	HSPA5
YY1	HSPA5
ATP5A1	HSPA5
PSMA2	HSPA5
PSMA3	HSPA5
MSN	HSPA5
DDX6	HSPA5
DNMT1	HSPA5
MAPK3	HSPA5
RPA1	HSPA5
CANX	HSPA5
SHC1	HSPA5
ERP29	HSPA5
ADSL	HSPA5
AKT1	HSPA5
ARRB2	HSPA5
ACSL1	HSPA5
SHMT2	HSPA5
HTR7	HSPA5
NOS2	HSPA5
RPA3	HSPA5
DDIT3	HSPA5
PSMC2	HSPA5
PPP1CC	HSPA5
CDKN1A	HSPA5
VHL	HSPA5
GRIA1	HSPA5
GRIA2	HSPA5
GRIA3	HSPA5
EPS15	HSPA5
SSR1	HSPA5
HTR3A	HSPA5
CRK	HSPA5
NSF	HSPA5
MTNR1A	HSPA5
PIK3CG	HSPA5
PXN	HSPA5
MTNR1B	HSPA5
ARRB1	HSPA5
CARS	HSPA5
TAF6	HSPA5
CPT1A	HSPA5
CDK9	HSPA5
SEC24C	HSPA5
CLNS1A	HSPA5
PRKAG1	HSPA5
PRKAA2	HSPA5
VCP	HSPA5
CASP7	HSPA5
SUMO3	HSPA5
BCAR1	HSPA5
PPP4C	HSPA5
GABARAPL2	HSPA5
RAP1B	HSPA5
PSME3	HSPA5
SEC61A1	HSPA5
SUMO2	HSPA5
PPP1CA	HSPA5
YWHAE	HSPA5
CNBP	HSPA5
SUMO1	HSPA5
SKP1	HSPA5
BASP1	HSPA5
PPP2R2B	HSPA5
NFKB2	HSPA5
MDM2	HSPA5
SET	HSPA5
RELB	HSPA5
HMGCS1	HSPA5
TOP2B	HSPA5
CAV1	HSPA5
MVK	HSPA5
RELA	HSPA5
EXOSC9	HSPA5
LGALS3BP	HSPA5
TMEM62	HSPA5
SREBF2	HSPA5
KCNMA1	HSPA5
CDC20	HSPA5
TRAP1	HSPA5
TRAF2	HSPA5
STK4	HSPA5
TARDBP	HSPA5
MAPK7	HSPA5
STK3	HSPA5
MAP3K1	HSPA5
CLN3	HSPA5
OS9	HSPA5
SQSTM1	HSPA5
SNW1	HSPA5
PWP1	HSPA5
CUL1	HSPA5
CUL2	HSPA5
CUL3	HSPA5
CUL4A	HSPA5
CUL4B	HSPA5
GNL2	HSPA5
ENDOG	HSPA5
CASP8	HSPA5
CUL7	HSPA5
IQCB1	HSPA5
WDR43	HSPA5
PPA1	HSPA5
TMED2	HSPA5
SEC23A	HSPA5
TAF5	HSPA5
TAB1	HSPA5
STK11	HSPA5
NEDD8	HSPA5
CDC37	HSPA5
PCSK7	HSPA5
TAF9	HSPA5
HIF1A	HSPA5
ZSWIM7	HSPA5
TMEM132A	HSPA5
GSG1	HSPA5
ATG2A	HSPA5
HFE	HSPA5
PAN2	HSPA5
WIPI1	HSPA5
METTL21C	HSPA5
ATG16L1	HSPA5
RPGRIP1L	HSPA5
DMKN	HSPA5
SUMO4	HSPA5
TTC27	HSPA5
KLHDC10	HSPA5
ATG14	HSPA5
MEPCE	HSPA5
COPS6	HSPA5
CAMKMT	HSPA5
TECPR1	HSPA5
HUWE1	HSPA5
SYVN1	HSPA5
CAND1	HSPA5
METTL23	HSPA5
CEP57	HSPA5
DNAJC10	HSPA5
ETFBKMT	HSPA5
ULK2	HSPA5
SPG20	HSPA5
AHI1	HSPA5
PIK3C3	HSPA5
ATL2	HSPA5
CEP70	HSPA5
CEP76	HSPA5
FBXO25	HSPA5
NEK9	HSPA5
RB1CC1	HSPA5
UBASH3B	HSPA5
KBTBD7	HSPA5
RASSF5	HSPA5
METTL21A	HSPA5
DGCR8	HSPA5
NCSTN	HSPA5
TOPBP1	HSPA5
DYRK2	HSPA5
NSMAF	HSPA5
RAD54L	HSPA5
KAT2B	HSPA5
TANK	HSPA5
ERCC4	HSPA5
COPS5	HSPA5
CUL5	HSPA5
RAB24	HSPA5
EEF1AKMT3	HSPA5
UPRT	HSPA5
