first	second
FBXO6	KIAA0922
CBX5	ZNF568
TNF	SSPO
ATN1	SSPO
ATXN7L1	SSPO
UBC	VWA8
KEAP1	VWA8
NUDCD1	VWA8
LGR4	VWA8
UBC	SBNO1
SEC24C	SBNO1
SUMO2	SBNO1
JAG1	SBNO1
SSRP1	SBNO1
PBDC1	SBNO1
CD247	DDX1
KCTD13	LAMB4
PRKAG2	LAMB4
UBC	CPED1
YWHAE	ISPD
ZNF322	ISPD
PSENEN	GSAP
CEP76	ZNF804B
UBC	GTPBP10
MRPL58	GTPBP10
NECAB2	GTPBP10
CAND1	GTPBP10
CD247	CHCHD3
ARIH2	WDR91
CUL3	WDR91
WWOX	WDR91
STX8	WDR91
UBC	KIAA1147
SETBP1	KIAA1147
RPS2	MBLAC1
STIP1	MBLAC1
ATP2C1	MBLAC1
IMMT	MBLAC1
UBC	CTAGE15
PFN1	GRID2IP
SRC	GRID2IP
EGFR	SH3D21
MAPK3	SH3D21
UBD	EFCAB5
PSMD2	AGO2
FKBP5	AGO2
STUB1	AGO2
FEN1	EME2
CSNK2B	LRP5L
RAD21	XIRP2
EED	XIRP2
DYSF	XIRP2
UBC	XIRP2
LRRK2	XIRP2
NSMAF	XIRP2
UBC	POTEF
LGR4	POTEF
UCHL5	POTEF
KRT40	CLEC18A
ADAMTSL4	CLEC18A
NOTCH2NL	CLEC18A
WWP2	VPS37C
HGS	VPS37C
PLSCR1	VPS37C
SORBS3	VPS37C
PDCD6	VPS37C
STAM2	VPS37C
SORBS2	VPS37C
UBC	VPS37C
DDIT3	VPS37C
PKNOX1	VPS37C
XIAP	VPS37C
GOLGA2	VPS37C
DAZAP2	VPS37C
CEP55	VPS37C
C1orf94	VPS37C
FAM168A	VPS37C
TFG	VPS37C
MVB12A	VPS37C
SH3GL1	VPS37C
HNRNPUL1	VPS37C
UBAP1	VPS37C
TFIP11	VPS37C
TACC3	VPS37C
CCDC114	CCDC151
PRKACA	SLC4A4
CA4	SLC4A4
SLC4A7	SLC4A4
KCNK1	PSD
GNB5	PSD
GMFG	PSD
GLRA2	PSD
ARF6	PSD
HEXDC	PSD
RAB40C	PSD
GSK3B	KRBA1
DCUN1D1	RGSL1
